Year,Geo_Level,State,State_ANSI,Ag_District,Ag_District_Code,County,County_ANSI,Value
2017,STATE,ALABAMA,1,,,,,"11,717"
2017,STATE,ALASKA,2,,,,,632
2017,STATE,ARIZONA,4,,,,,"31,778"
2017,STATE,ARKANSAS,5,,,,,"25,657"
2017,STATE,CALIFORNIA,6,,,,,"1,143,254"
2017,STATE,COLORADO,8,,,,,"18,321"
2017,STATE,CONNECTICUT,9,,,,,"5,668"
2017,STATE,DELAWARE,10,,,,,516
2017,STATE,FLORIDA,12,,,,,"241,176"
2017,STATE,GEORGIA,13,,,,,"119,609"
2017,STATE,HAWAII,15,,,,,"19,862"
2017,STATE,IDAHO,16,,,,,"130,998"
2017,STATE,ILLINOIS,17,,,,,"15,103"
2017,STATE,INDIANA,18,,,,,"13,271"
2017,STATE,IOWA,19,,,,,"42,130"
2017,STATE,KANSAS,20,,,,,"7,097"
2017,STATE,KENTUCKY,21,,,,,"15,659"
2017,STATE,LOUISIANA,22,,,,,"47,828"
2017,STATE,MAINE,23,,,,,"4,790"
2017,STATE,MARYLAND,24,,,,,"9,782"
2017,STATE,MASSACHUSETTS,25,,,,,"6,264"
2017,STATE,MICHIGAN,26,,,,,"37,957"
2017,STATE,MINNESOTA,27,,,,,"45,905"
2017,STATE,MISSISSIPPI,28,,,,,"19,740"
2017,STATE,MISSOURI,29,,,,,"16,065"
2017,STATE,MONTANA,30,,,,,"33,642"
2017,STATE,NEBRASKA,31,,,,,"18,021"
2017,STATE,NEVADA,32,,,,,"9,943"
2017,STATE,NEW HAMPSHIRE,33,,,,,"2,505"
2017,STATE,NEW JERSEY,34,,,,,"9,767"
2017,STATE,NEW MEXICO,35,,,,,"8,099"
2017,STATE,NEW YORK,36,,,,,"37,181"
2017,STATE,NORTH CAROLINA,37,,,,,"28,832"
2017,STATE,NORTH DAKOTA,38,,,,,"97,105"
2017,STATE,OHIO,39,,,,,"24,714"
2017,STATE,OKLAHOMA,40,,,,,"21,745"
2017,STATE,OREGON,41,,,,,"88,362"
2017,STATE,PENNSYLVANIA,42,,,,,"26,169"
2017,STATE,RHODE ISLAND,44,,,,,986
2017,STATE,SOUTH CAROLINA,45,,,,,"16,821"
2017,STATE,SOUTH DAKOTA,46,,,,,"39,602"
2017,STATE,TENNESSEE,47,,,,,"18,663"
2017,STATE,TEXAS,48,,,,,"210,229"
2017,STATE,UTAH,49,,,,,"15,354"
2017,STATE,VERMONT,50,,,,,"10,205"
2017,STATE,VIRGINIA,51,,,,,"15,483"
2017,STATE,WASHINGTON,53,,,,,"65,523"
2017,STATE,WEST VIRGINIA,54,,,,,"12,164"
2017,STATE,WISCONSIN,55,,,,,"28,673"
2017,STATE,WYOMING,56,,,,,"5,929"
2012,STATE,ALABAMA,1,,,,,"11,628"
2012,STATE,ALASKA,2,,,,,546
2012,STATE,ARIZONA,4,,,,,"58,461"
2012,STATE,ARKANSAS,5,,,,,"23,259"
2012,STATE,CALIFORNIA,6,,,,,"945,589"
2012,STATE,COLORADO,8,,,,,"34,813"
2012,STATE,CONNECTICUT,9,,,,,"5,639"
2012,STATE,DELAWARE,10,,,,,817
2012,STATE,FLORIDA,12,,,,,"206,654"
2012,STATE,GEORGIA,13,,,,,"64,213"
2012,STATE,HAWAII,15,,,,,"8,630"
2012,STATE,IDAHO,16,,,,,"103,604"
2012,STATE,ILLINOIS,17,,,,,"10,043"
2012,STATE,INDIANA,18,,,,,"13,017"
2012,STATE,IOWA,19,,,,,"30,004"
2012,STATE,KANSAS,20,,,,,"10,726"
2012,STATE,KENTUCKY,21,,,,,"12,669"
2012,STATE,LOUISIANA,22,,,,,"34,905"
2012,STATE,MAINE,23,,,,,"14,456"
2012,STATE,MARYLAND,24,,,,,"7,892"
2012,STATE,MASSACHUSETTS,25,,,,,"4,666"
2012,STATE,MICHIGAN,26,,,,,"78,995"
2012,STATE,MINNESOTA,27,,,,,"101,424"
2012,STATE,MISSISSIPPI,28,,,,,"36,097"
2012,STATE,MISSOURI,29,,,,,"14,561"
2012,STATE,MONTANA,30,,,,,"119,002"
2012,STATE,NEBRASKA,31,,,,,"44,895"
2012,STATE,NEVADA,32,,,,,"10,182"
2012,STATE,NEW HAMPSHIRE,33,,,,,"2,912"
2012,STATE,NEW JERSEY,34,,,,,"13,298"
2012,STATE,NEW MEXICO,35,,,,,"15,088"
2012,STATE,NEW YORK,36,,,,,"70,557"
2012,STATE,NORTH CAROLINA,37,,,,,"24,225"
2012,STATE,NORTH DAKOTA,38,,,,,"370,480"
2012,STATE,OHIO,39,,,,,"21,398"
2012,STATE,OKLAHOMA,40,,,,,"21,011"
2012,STATE,OREGON,41,,,,,"82,190"
2012,STATE,PENNSYLVANIA,42,,,,,"32,023"
2012,STATE,RHODE ISLAND,44,,,,,739
2012,STATE,SOUTH CAROLINA,45,,,,,"10,083"
2012,STATE,SOUTH DAKOTA,46,,,,,"210,447"
2012,STATE,TENNESSEE,47,,,,,"14,161"
2012,STATE,TEXAS,48,,,,,"136,830"
2012,STATE,UTAH,49,,,,,"26,083"
2012,STATE,VERMONT,50,,,,,"8,624"
2012,STATE,VIRGINIA,51,,,,,"14,334"
2012,STATE,WASHINGTON,53,,,,,"96,685"
2012,STATE,WEST VIRGINIA,54,,,,,"9,325"
2012,STATE,WISCONSIN,55,,,,,"49,661"
2012,STATE,WYOMING,56,,,,,"45,029"
2007,STATE,ALABAMA,1,,,,,"13,464"
2007,STATE,ALASKA,2,,,,,337
2007,STATE,ARIZONA,4,,,,,"42,239"
2007,STATE,ARKANSAS,5,,,,,"31,865"
2007,STATE,CALIFORNIA,6,,,,,"655,817"
2007,STATE,COLORADO,8,,,,,"33,201"
2007,STATE,CONNECTICUT,9,,,,,"4,427"
2007,STATE,DELAWARE,10,,,,,546
2007,STATE,FLORIDA,12,,,,,"158,905"
2007,STATE,GEORGIA,13,,,,,"93,661"
2007,STATE,HAWAII,15,,,,,"16,665"
2007,STATE,IDAHO,16,,,,,"119,379"
2007,STATE,ILLINOIS,17,,,,,"9,390"
2007,STATE,INDIANA,18,,,,,"11,305"
2007,STATE,IOWA,19,,,,,"29,110"
2007,STATE,KANSAS,20,,,,,"11,977"
2007,STATE,KENTUCKY,21,,,,,"10,796"
2007,STATE,LOUISIANA,22,,,,,"37,422"
2007,STATE,MAINE,23,,,,,"5,780"
2007,STATE,MARYLAND,24,,,,,"6,444"
2007,STATE,MASSACHUSETTS,25,,,,,"8,255"
2007,STATE,MICHIGAN,26,,,,,"74,362"
2007,STATE,MINNESOTA,27,,,,,"113,448"
2007,STATE,MISSISSIPPI,28,,,,,"22,032"
2007,STATE,MISSOURI,29,,,,,"21,372"
2007,STATE,MONTANA,30,,,,,"110,389"
2007,STATE,NEBRASKA,31,,,,,"36,666"
2007,STATE,NEVADA,32,,,,,991
2007,STATE,NEW HAMPSHIRE,33,,,,,"1,901"
2007,STATE,NEW JERSEY,34,,,,,"10,926"
2007,STATE,NEW MEXICO,35,,,,,"11,511"
2007,STATE,NEW YORK,36,,,,,"46,401"
2007,STATE,NORTH CAROLINA,37,,,,,"31,768"
2007,STATE,NORTH DAKOTA,38,,,,,"390,421"
2007,STATE,OHIO,39,,,,,"22,030"
2007,STATE,OKLAHOMA,40,,,,,"6,457"
2007,STATE,OREGON,41,,,,,"52,688"
2007,STATE,PENNSYLVANIA,42,,,,,"35,979"
2007,STATE,RHODE ISLAND,44,,,,,419
2007,STATE,SOUTH CAROLINA,45,,,,,"7,009"
2007,STATE,SOUTH DAKOTA,46,,,,,"230,075"
2007,STATE,TENNESSEE,47,,,,,"12,614"
2007,STATE,TEXAS,48,,,,,"128,064"
2007,STATE,UTAH,49,,,,,"28,778"
2007,STATE,VERMONT,50,,,,,"7,632"
2007,STATE,VIRGINIA,51,,,,,"10,822"
2007,STATE,WASHINGTON,53,,,,,"83,170"
2007,STATE,WEST VIRGINIA,54,,,,,"10,701"
2007,STATE,WISCONSIN,55,,,,,"47,488"
2007,STATE,WYOMING,56,,,,,"45,633"
2002,STATE,ALABAMA,1,,,,,"19,592"
2002,STATE,ALASKA,2,,,,,94
2002,STATE,ARIZONA,4,,,,,"38,864"
2002,STATE,ARKANSAS,5,,,,,"38,924"
2002,STATE,CALIFORNIA,6,,,,,"484,510"
2002,STATE,COLORADO,8,,,,,"26,463"
2002,STATE,CONNECTICUT,9,,,,,"4,071"
2002,STATE,DELAWARE,10,,,,,452
2002,STATE,FLORIDA,12,,,,,"226,332"
2002,STATE,GEORGIA,13,,,,,"68,345"
2002,STATE,HAWAII,15,,,,,"14,365"
2002,STATE,IDAHO,16,,,,,"92,555"
2002,STATE,ILLINOIS,17,,,,,"5,245"
2002,STATE,INDIANA,18,,,,,"9,996"
2002,STATE,IOWA,19,,,,,"30,641"
2002,STATE,KANSAS,20,,,,,"15,035"
2002,STATE,KENTUCKY,21,,,,,"6,850"
2002,STATE,LOUISIANA,22,,,,,"29,990"
2002,STATE,MAINE,23,,,,,"7,098"
2002,STATE,MARYLAND,24,,,,,"6,568"
2002,STATE,MASSACHUSETTS,25,,,,,"2,966"
2002,STATE,MICHIGAN,26,,,,,"79,341"
2002,STATE,MINNESOTA,27,,,,,"97,725"
2002,STATE,MISSISSIPPI,28,,,,,"11,624"
2002,STATE,MISSOURI,29,,,,,"21,333"
2002,STATE,MONTANA,30,,,,,"108,617"
2002,STATE,NEBRASKA,31,,,,,"39,922"
2002,STATE,NEVADA,32,,,,,678
2002,STATE,NEW HAMPSHIRE,33,,,,,"1,902"
2002,STATE,NEW JERSEY,34,,,,,"11,527"
2002,STATE,NEW MEXICO,35,,,,,"10,367"
2002,STATE,NEW YORK,36,,,,,"45,850"
2002,STATE,NORTH CAROLINA,37,,,,,"15,478"
2002,STATE,NORTH DAKOTA,38,,,,,"160,946"
2002,STATE,OHIO,39,,,,,"24,605"
2002,STATE,OKLAHOMA,40,,,,,"6,275"
2002,STATE,OREGON,41,,,,,"47,563"
2002,STATE,PENNSYLVANIA,42,,,,,"38,481"
2002,STATE,RHODE ISLAND,44,,,,,520
2002,STATE,SOUTH CAROLINA,45,,,,,"4,400"
2002,STATE,SOUTH DAKOTA,46,,,,,"164,114"
2002,STATE,TENNESSEE,47,,,,,"12,446"
2002,STATE,TEXAS,48,,,,,"113,092"
2002,STATE,UTAH,49,,,,,"18,195"
2002,STATE,VERMONT,50,,,,,"7,412"
2002,STATE,VIRGINIA,51,,,,,"12,594"
2002,STATE,WASHINGTON,53,,,,,"67,909"
2002,STATE,WEST VIRGINIA,54,,,,,"7,423"
2002,STATE,WISCONSIN,55,,,,,"59,434"
2002,STATE,WYOMING,56,,,,,"31,276"
